id,crop,temperature,humidity,rainfall,ph,N,K,P
32,rice,23.83067496,84.81360127,298.5601175,6.271478838,82,40,40
33,rice,26.31355498,82.36698992,265.5355937,7.224285503,85,45,52
34,rice,24.8972823,80.52586088,183.6793207,6.13428721,91,38,35
35,rice,24.958779,84.47963372,196.9560008,5.206373153,76,42,49
36,rice,24.63544858,80.41363018,253.7202781,7.730367824,88,45,55
37,rice,20.0454142,80.3477562,208.5810155,6.766240045,76,39,60
38,rice,23.85724032,82.22572988,195.0948311,7.382762603,93,42,56
39,rice,21.97199397,81.89918197,227.3637009,5.658169482,65,43,60
40,rice,26.22916897,83.83625819,286.5083725,5.543360238,95,36,52
41,rice,23.44676801,84.79352417,283.9338466,6.215109715,75,39,38
42,rice,25.65553461,83.47021081,217.3788583,7.120272972,74,38,54
43,rice,24.44345477,82.45432595,267.9761948,5.950647577,91,45,36
44,rice,20.41447029,82.20802629,245.1511304,7.592490617,72,38,40
45,rice,25.75528612,83.51827127,245.6626799,5.875345751,83,45,58
46,rice,20.61521424,83.77345559,279.5451717,6.932400225,93,38,58
47,rice,21.84106875,80.72886384,202.3838319,6.946209881,70,42,36
48,rice,21.14347496,80.33502926,198.6730942,5.594819626,99,37,54
49,rice,25.78720567,82.11124033,243.5120414,6.946636369,86,35,59
50,rice,23.64124821,80.28597873,263.1103304,5.012139669,69,41,46
51,rice,23.43191632,80.56887849,269.5039162,6.363472208,91,37,56
52,rice,24.97669518,83.891805,204.8001847,6.880431223,61,41,52
53,rice,22.72791041,82.1706881,260.8875056,7.300410836,67,38,45
54,rice,24.87300744,82.84022551,295.6094492,6.587918708,79,37,42
55,rice,26.29465461,84.56919326,257.4914906,7.023936392,75,36,54
56,rice,26.73072391,81.78596776,280.4044392,7.868474653,67,44,47
57,rice,24.88921174,81.97927117,185.9461429,5.005306977,73,38,35
58,rice,26.08867875,80.37979919,182.9043504,5.706943251,68,43,57
59,rice,26.40323239,81.05635517,223.3671883,6.349606327,61,43,53
60,rice,26.04371967,84.96907151,186.7536773,5.999969026,67,39,43
61,rice,22.08576562,83.47038318,231.7364957,6.372576327,66,38,60
62,rice,23.28617173,81.43321641,242.3170629,5.105588355,82,38,43
63,rice,25.48591986,81.40633547,182.6549356,5.935344406,84,44,50
64,rice,23.67575393,81.03569343,233.7034975,5.17782304,81,42,53
65,rice,20.82477109,84.1341879,230.2242223,6.462391607,91,40,50
66,rice,23.83509503,83.88387074,241.2013513,7.473134377,90,38,44
67,rice,26.52872817,80.12267476,218.9163567,6.158376967,81,35,45
68,rice,26.46428311,83.85642678,248.2256491,7.549873681,78,38,40
69,rice,22.69657794,82.81088865,256.9964761,6.028321558,60,36,51
70,rice,22.68319059,83.46358271,194.2651719,6.604993475,88,42,46
71,rice,21.53346343,82.14004101,295.9248796,6.500343222,93,37,47
72,rice,21.40865769,83.3293191,287.5766935,5.935745417,60,45,55
73,rice,23.35905428,83.59512273,188.413665,5.333322606,65,40,37
74,maize,22.61359953,63.69070564,87.75953857,5.749914421,71,16,54
75,maize,26.10018422,71.57476937,102.2662445,6.931756558,61,17,44
76,maize,23.55882094,71.59351368,66.71995467,6.657964753,80,16,43
77,maize,19.97215954,57.68272924,60.65171481,6.596060648,73,21,58
78,maize,18.47891261,62.69503871,65.43835393,5.970458434,61,20,38
79,maize,25.6217169,66.50415474,105.4654703,6.047906679,93,17,41
80,maize,25.19192419,66.6902901,78.06639649,5.913664501,89,19,60
81,maize,20.41683147,62.5542482,65.27798457,5.855442401,76,17,44
82,maize,24.92162194,66.78627406,109.2162279,5.750254943,67,25,60
83,maize,23.31689124,73.4541537,94.29712821,5.852607099,70,19,44
84,maize,24.84016732,68.3584573,74.05474936,6.472523287,90,21,49
85,maize,18.87751445,65.76816093,94.76189431,6.082973754,92,16,44
86,maize,18.25405352,55.28220433,63.72358154,6.204747653,63,22,58
87,maize,24.6129118,70.4162444,104.1626147,6.600827017,70,17,47
88,maize,25.1420613,65.26185135,76.68456006,6.021902237,61,17,41
89,maize,23.09348056,60.1159381,65.49730729,6.033550195,66,19,53
90,maize,18.05033737,62.89366992,84.23613484,6.28886807,74,19,55
91,maize,24.9321581,73.80435276,79.74078719,6.550563823,77,21,57
92,maize,18.14710054,71.09445342,88.07753741,5.573286437,99,15,50
93,maize,18.28362235,66.65952796,80.97573281,6.829199275,74,22,56
94,maize,18.83344471,58.75082029,79.7532896,5.716222912,83,21,45
95,maize,25.71895816,67.22190688,74.51490791,5.54990242,100,16,48
96,maize,23.89114571,57.48775781,102.8301942,5.893093135,94,18,39
97,maize,21.53574127,71.50905983,102.4852929,5.918263801,75,15,49
98,maize,23.08974909,63.10459626,70.43473609,5.588650585,78,22,48
99,maize,25.61707368,63.4711755,108.8303762,6.576418207,87,20,54
100,maize,21.44526922,63.1621551,65.88951188,6.178056304,87,25,35
101,maize,18.51816776,55.53128131,90.988051,6.641906353,63,19,43
102,maize,22.53510514,67.99257471,64.40866039,6.489040367,84,25,57
103,maize,23.02038334,61.89472002,63.03843397,5.680361038,64,23,35
104,maize,24.89364635,65.61418761,87.9298085,6.625404348,60,22,46
105,maize,19.39851734,62.35750641,60.95197486,5.696205468,75,18,56
106,maize,23.79746068,74.82913698,91.76337172,6.252797548,98,18,35
107,maize,24.10859207,73.13112261,71.07562236,6.234330356,99,17,56
108,maize,24.7947077,70.04556743,76.72860067,5.722579819,60,23,44
109,maize,25.37548751,57.21025565,101.7004306,5.983952675,89,17,60
110,maize,22.21738222,72.85462807,106.6213157,6.80163854,69,23,51
111,maize,24.87502824,68.74248334,91.26056654,6.265564338,61,15,60
112,maize,20.03728219,56.35606753,109.024141,6.727303282,74,18,58
113,maize,19.28889933,65.47050802,71.3195307,6.807487794,63,17,43
114,maize,20.57981887,65.34583901,78.34604471,6.671085817,99,20,36
115,maize,24.71417533,56.73426469,88.45361858,6.648725327,77,23,36
116,maize,20.27317074,63.91281869,62.50351892,6.439071996,87,23,60
117,maize,18.41932981,64.23580251,76.41312437,6.474476516,60,17,38
118,maize,23.39128187,61.74427165,107.3198135,5.871647806,94,17,54
119,maize,19.84939404,61.24500053,100.7689246,5.730617109,95,22,38
120,maize,21.869274,61.91044947,107.2681929,5.850439831,84,21,44
121,maize,22.8056033,56.50768935,101.5952794,5.791649933,77,19,58
122,maize,22.02720976,65.35549924,83.73280082,6.272417541,63,16,35
123,maize,23.80546189,59.24537979,89.9622014,5.715208817,79,20,45
124,maize,18.52510753,69.0276233,88.10234397,5.773454729,72,25,60
125,maize,23.50297882,61.32026065,64.77791424,5.584171461,67,24,51
126,maize,19.29563411,69.63481219,83.21030571,5.77597783,76,18,48
127,maize,20.68899915,59.4375337,103.651438,6.864793607,75,18,53
128,maize,19.32666088,68.034493,84.22969177,6.192360003,81,23,45
129,maize,24.60532218,73.58868502,96.59195302,6.636803223,73,21,45
130,maize,22.27373646,59.52193158,67.96704792,5.826426917,71,24,35
131,maize,25.70196694,61.33450447,83.20711308,6.960358276,96,22,54
132,maize,19.20129357,68.30578978,87.85092352,6.11275104,99,18,39
133,maize,21.70181447,60.47470519,95.71388473,6.708446922,62,20,48
134,maize,20.51716779,59.21235483,67.61013737,5.561510732,86,16,37
135,maize,23.30355338,73.62548442,97.59081274,5.873242491,94,19,50
136,maize,24.2547451,55.64709899,64.23845455,6.995843776,76,24,39
137,maize,24.86374934,65.7420046,75.82270467,5.714799723,77,17,52
138,maize,22.6265115,65.77472881,88.17251033,6.78073637,74,23,39
139,maize,18.04185513,60.61494304,104.2321615,5.513697923,81,20,49
140,maize,22.88330922,71.59722446,67.72777298,6.352471866,99,21,38
141,maize,18.66116213,61.55327249,75.03247667,6.121294041,60,24,57
142,maize,25.10787449,55.97732754,78.16077693,5.790770203,71,18,52
143,maize,23.33844615,59.24580604,105.0083144,6.47444292,61,17,59
144,maize,25.08239719,65.92195844,62.49190812,6.455116637,88,15,38
145,maize,25.36768364,72.52054555,107.9124111,6.606984086,65,22,60
146,maize,18.09300227,72.61024172,78.96159541,6.376651091,91,15,55
147,maize,26.16985907,71.96246617,79.84925393,6.247040422,76,18,51
148,maize,18.92851916,72.80086137,82.34162918,6.158860284,90,24,57
149,maize,23.30546753,63.24648023,108.7603001,6.385684214,67,22,35
150,maize,18.74826712,62.49878458,70.23401597,6.417820493,60,19,54
151,maize,19.74213321,59.66263104,65.50861389,6.381201909,83,23,58
152,maize,25.73044432,70.74739256,98.73771338,6.877869005,83,19,57
153,chickpea,17.02498456,16.98861173,88.55123143,7.485996067,40,77,72
154,chickpea,18.86805647,15.65809214,88.51048983,6.391173589,22,85,72
155,chickpea,20.45078582,15.40312102,92.68373702,5.988992796,32,81,73
156,chickpea,17.3348681,18.74926979,82.61734721,7.550808267,59,84,70
157,chickpea,18.01272266,18.30968112,81.98568791,8.753795334,28,81,74
158,chickpea,20.99373558,19.33470387,93.55280105,8.718192847,58,79,66
159,chickpea,19.81344531,14.69765308,78.96514709,6.515499549,58,81,63
160,chickpea,18.97424756,19.5161216,80.7108745,8.490127142,23,85,62
161,chickpea,18.19737048,14.71070537,70.18185181,6.576415562,27,77,62
162,chickpea,18.72963144,19.18197264,71.58010169,6.481783043,28,84,72
163,chickpea,20.28155898,16.39535215,82.52339655,8.140825437,39,84,71
164,chickpea,20.88818675,14.32313811,90.46228334,6.492546046,31,77,70
165,chickpea,17.08498521,16.14565756,71.31007253,7.528599957,26,83,80
166,chickpea,18.57665902,19.22008229,72.94940441,8.104396058,59,83,62
167,chickpea,19.03025305,18.66725565,94.70992037,7.690962338,59,84,60
168,chickpea,17.1418614,17.0662427,83.74606679,7.829211144,54,85,77
169,chickpea,17.47809436,17.93253975,78.92060234,6.761599706,43,81,68
170,chickpea,20.56601874,14.25803981,83.75937135,6.654425315,28,82,76
171,chickpea,17.22385224,15.82069268,76.57580954,6.129533877,42,85,79
172,chickpea,19.69141713,19.44225438,91.76071648,8.829273328,32,83,60
173,chickpea,17.84851658,19.09172907,76.32470713,8.621662982,22,76,78
174,chickpea,17.47500984,16.54314829,93.35034262,6.18042747,28,81,58
175,chickpea,18.72649425,17.58406365,81.20176515,7.978996755,57,77,58
176,chickpea,18.65580107,16.17772668,81.70769297,7.863113671,49,78,55
177,chickpea,18.2356751,19.68538502,83.74879344,6.967843048,46,77,76
178,chickpea,18.65054116,17.80852431,77.92798682,8.868741443,38,76,60
179,chickpea,20.36720401,16.89574311,82.2545577,8.766128654,59,79,55
180,chickpea,18.38120357,16.63805158,70.52056697,8.736337905,36,75,76
181,chickpea,17.17012591,17.30457712,72.78624223,8.081095263,57,81,68
182,chickpea,19.37101121,15.77458129,85.24819851,6.138243973,35,81,66
183,chickpea,17.92845928,14.27327988,85.37378769,7.496645259,35,78,64
184,chickpea,19.45339934,18.23490739,75.6317566,8.380185271,52,79,60
185,chickpea,19.12829388,14.92241479,89.61857826,6.289614016,27,83,76
186,chickpea,19.1034283,17.26184541,75.49101167,6.586777189,57,84,60
187,chickpea,20.18649426,19.63719995,78.26039559,7.150681303,44,85,74
188,chickpea,17.30287885,15.15405941,75.57790384,6.64919573,24,78,55
189,chickpea,17.50361137,15.48083156,72.9446671,7.778591618,29,75,77
190,chickpea,17.57445618,16.71826572,77.81891424,8.255450758,56,78,67
191,chickpea,20.93175255,18.91295403,78.06910795,6.456148474,37,85,66
192,chickpea,19.07937684,17.86754927,69.40619137,8.165359297,59,80,69
193,chickpea,18.54988627,16.02542689,76.32565249,7.64867466,20,77,79
194,chickpea,18.19903647,17.41333199,80.6405403,6.545888558,24,85,56
195,chickpea,18.88852533,14.99451145,80.1113384,7.104224797,51,75,72
196,chickpea,19.48974337,17.17260319,87.51312796,6.4740245,22,82,64
197,chickpea,17.25769499,18.74943955,94.00287214,7.840339389,52,79,73
198,chickpea,19.62416326,18.71483156,88.4585692,7.064790365,29,75,75
199,chickpea,20.02381489,16.63294455,68.97806542,6.715587232,41,82,69
200,chickpea,20.65691793,15.84572566,65.23811143,7.985417393,34,80,76
201,chickpea,19.2582557,14.2804191,65.78042032,7.545258424,42,83,74
202,chickpea,17.927806,15.85622899,74.63872762,7.728998197,34,79,71
203,chickpea,17.09104223,18.25142068,87.27444866,7.785039076,57,75,57
204,chickpea,17.06579293,17.54024066,70.87150577,6.307004923,27,82,79
205,chickpea,20.62767492,14.44008871,92.06630306,6.403982316,32,85,71
206,chickpea,20.8248451,17.85057083,79.20509212,7.599279991,31,82,76
207,chickpea,19.46210401,18.72831993,68.81405149,7.217018459,33,84,75
208,chickpea,17.48911699,16.39055394,79.45758333,7.489545074,54,80,62
209,chickpea,17.48395377,14.76014523,65.11365631,6.609696734,47,78,79
210,chickpea,19.48316794,17.44534641,80.4986291,7.476800943,35,83,57
211,chickpea,19.71359733,18.09665739,73.64476535,7.325451279,53,77,73
212,chickpea,19.48649305,16.06240074,81.5284269,6.489389282,45,78,61
213,chickpea,19.95264829,14.82633099,88.6810311,7.786366322,37,79,78
214,chickpea,19.41789736,16.80472243,68.4951189,6.408437886,30,81,75
215,chickpea,18.8392908,14.74071856,94.78189594,7.811997977,22,85,60
216,chickpea,20.71219282,19.83643308,94.03659867,6.317153205,60,78,61
217,chickpea,18.99424448,15.9362937,78.69707199,7.114405288,42,77,67
218,chickpea,19.96837462,15.57324389,69.15759062,8.135900726,39,76,76
219,chickpea,17.81564548,17.60756635,90.82097601,7.714153038,35,76,63
220,chickpea,20.71424384,15.27824066,76.77888672,7.103798069,30,82,65
221,chickpea,17.34150229,18.75626255,67.9545435,8.861479668,57,78,56
222,chickpea,17.43732714,14.33847406,73.0926704,7.861128148,48,78,65
223,chickpea,18.89780215,19.76182946,69.09512477,7.4526709,36,83,56
224,chickpea,18.59190771,14.77959596,89.60982451,7.168096055,40,75,58
225,chickpea,18.31561493,15.36143547,81.78710463,7.26311855,49,82,69
226,lentil,19.44084326,63.27771461,46.83130119,7.728832424,13,22,61
227,lentil,29.84823072,60.63872613,46.80452595,7.491217102,38,20,60
228,lentil,21.36383757,69.92375891,46.6352865,6.633864582,11,17,74
229,lentil,26.28663931,68.51966729,46.13833007,7.324863481,37,16,71
230,lentil,22.17499963,62.13873825,53.46622584,6.410441476,29,18,71
231,lentil,26.57597546,60.97876599,50.89110726,7.836719564,2,18,72
232,lentil,26.58972517,66.14007674,50.90994463,6.139215944,6,21,59
233,lentil,19.1345771,62.57526895,36.46946971,6.590571088,13,20,64
234,lentil,25.78746268,60.2816298,49.14337177,6.058306161,6,20,77
235,lentil,21.35499456,62.60136323,41.78219834,5.925391795,39,15,78
236,lentil,24.02037872,61.62313345,49.78102578,7.397546271,37,22,62
237,lentil,25.40474421,65.8567539,51.92057267,7.722335992,31,24,60
238,lentil,20.21368219,68.65257685,50.89732989,6.887130053,3,18,78
239,lentil,29.19585548,68.01965728,44.93261911,7.441976825,4,16,80
240,lentil,18.29783597,69.6897615,49.39111479,7.629910253,13,24,61
241,lentil,24.84063998,60.09116626,48.77790371,6.75020529,4,21,61
242,lentil,29.94413861,67.31323084,40.37113729,7.52178027,9,21,60
243,lentil,25.87990287,67.55109024,47.89645224,6.347379185,18,22,66
244,lentil,20.0467711,65.84395319,46.05333124,7.135251532,32,18,56
245,lentil,22.99451999,66.70897237,54.49044154,7.670178119,6,15,72
246,lentil,25.13163619,66.92642362,49.04015558,7.399749291,15,20,77
247,lentil,28.49584395,62.44616219,53.14531023,7.841496029,0,24,65
248,lentil,24.38041875,61.18458224,53.13946695,6.868881708,3,16,63
249,lentil,18.54141834,62.70637578,44.07819743,6.296976913,10,18,78
250,lentil,25.28710601,60.85993533,49.37369982,7.241151936,14,25,67
251,lentil,25.43459777,69.12613376,41.02682925,7.685959305,39,23,65
252,lentil,28.83600962,69.76112921,44.08562546,6.890760124,19,15,72
253,lentil,27.37659643,63.93927841,49.47371773,6.155915975,18,21,57
254,lentil,28.31886863,60.19461399,45.36521251,6.167855382,31,15,58
255,lentil,27.4818649,62.04814951,37.81123974,6.861640036,28,25,58
256,lentil,18.28072173,68.10365387,48.80253285,6.978361689,5,19,65
257,lentil,23.43974653,63.22011726,45.40277297,5.94239222,34,19,65
258,lentil,23.7937153,68.03209183,49.73922097,6.516317561,22,16,55
259,lentil,22.6371424,65.44544859,38.30411077,6.233269045,24,17,61
260,lentil,29.87854588,65.73085206,44.95654782,6.950300686,26,17,63
261,lentil,25.17885316,68.93307305,35.03484812,6.54803469,24,16,70
262,lentil,24.12192608,61.09533545,44.23629285,6.461618577,13,25,74
263,lentil,23.33565221,67.40460704,36.18678721,7.065264073,6,23,64
264,lentil,24.388717,62.50453062,47.26052494,6.711341147,6,18,68
265,lentil,24.98287462,66.895409,38.21370568,6.379881442,10,20,79
266,lentil,28.234829,69.3159965,35.36831423,6.313284268,38,22,77
267,lentil,26.03026959,69.55863145,37.11395801,7.393210848,17,17,74
268,lentil,28.04849594,64.07691942,37.15824966,7.504930973,26,24,68
269,lentil,24.87425505,64.00213929,48.28137482,7.198076286,23,17,75
270,lentil,20.06003985,67.76252583,42.89509057,6.677262562,19,19,79
271,lentil,19.59221047,61.28633405,41.7704893,6.74398035,22,18,60
272,lentil,29.77013109,66.29327012,35.69674138,6.547361618,28,16,69
273,lentil,27.52135365,60.53657684,48.06491307,6.551577598,1,21,67
274,lentil,20.39078312,60.47528931,53.31508572,6.924042372,36,20,67
275,lentil,25.39038396,60.4989659,39.18374505,7.437373666,28,21,70
276,lentil,27.70496805,63.20915034,37.46160727,7.74672376,22,16,68
277,lentil,18.06486101,65.1034354,51.54922825,6.300479414,26,22,66
278,lentil,18.13027797,62.45851612,50.6128521,6.078724107,16,16,65
279,lentil,23.82723528,67.89815262,46.90725077,6.76660668,14,22,59
280,lentil,23.19305333,62.74710773,49.55213308,7.641024177,33,19,59
281,lentil,25.08966129,68.17543102,41.45486619,6.559681838,21,17,63
282,lentil,25.86928193,61.88321072,36.68284038,7.072923306,0,21,69
283,lentil,18.43966037,68.05394959,39.00992137,7.732194788,10,17,75
284,lentil,27.14911056,67.02664337,52.50812701,6.157782589,30,18,61
285,lentil,23.33375853,64.50515776,47.01510708,7.240988401,0,17,74
286,lentil,26.7230014,62.96841833,42.87274897,6.898905799,35,22,74
287,lentil,19.55750776,64.45268309,53.04669416,6.818681086,7,24,63
288,lentil,27.99990346,65.57653373,49.94043064,6.493036868,14,15,74
289,lentil,29.05941162,62.10652364,36.5011366,7.042474679,14,20,76
290,lentil,25.71269843,64.1123333,50.17067771,7.692013657,36,16,65
291,lentil,21.79792649,63.73086065,46.62370222,6.250994223,28,21,67
292,lentil,24.70626432,60.26854183,53.12442925,6.052184881,28,16,79
293,lentil,21.91041045,65.21662467,36.10211371,5.962001484,12,19,80
294,lentil,29.82112112,69.4073209,51.56461082,6.593798387,0,22,67
295,lentil,27.52185591,63.13215259,45.20841071,7.28805662,7,25,73
296,lentil,27.99627907,68.6428593,46.10585191,7.32710972,10,18,56
297,lentil,20.76774783,63.90164154,47.9271552,6.366355781,39,15,70
298,lentil,21.65845777,63.58337146,38.07659414,6.280725549,9,17,77
299,lentil,26.25070298,67.62779652,40.8106299,7.621494566,4,19,59
300,lentil,23.89736406,66.32102048,40.74536757,7.802212437,33,15,77
